name:full;birth:location;birth:year;education:location:0;education:year:0;education:location:1;education:year:1;education:location:2;education:year:2;position:job:0;position:job_location:0;position:job_year:0;position:job:1;position:job_location:1;position:job_year:1;position:job:2;position:job_location:2;position:job_year:2;position:job:3;position:job_location:3;position:job_year:3;position:job:4;position:job_location:4;position:job_year:4;position:job:5;position:job_location:5;position:job_year:5;position:job:6;position:job_location:6;position:job_year:6;position:job:7;position:job_location:7;position:job_year:7;position:job:8;position:job_location:8;position:job_year:8;position:role;position:role_location;position:role_year
Ting, I-Hsien;Tinghai, Chekiang;1860;Educational Mission School;1872-73;Holyoke High School, Mass., 1876-80. Studied at Harvard University;1876-80. Studied at Harvard University, 1880-81;Shanghai;1872-73;Customs Office;Shanghai;1885;Chief Assistant, Customs Office;Shanghai;present;Clerk;_;1885;Deputy Commissioner and Assistant Statistical Secretary, Customs Office;_;1908;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tyau, Edward S;Sunning, Kwangtung;1881;St. Peter's School;1895-96;Iolani College;1896-98;St. John's University;1898-1908;Professor of Clinical Pathology and Dermatology;Shanghai;1914-16;House Physician;St. Luke's Hospital, Shanghai;1908-10;Chief Physician;Geldenhui Hospital, Transvaal, Africa;1910-12;President, U. of P. Chinese Students' Club;_;1913-14;Physician in Charge, St. Luke's Hospital;Shanghai;1916;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Bien, Fu-Sun;Yangchow, Kiangsu;1886;St. John's University;_;Shanghai;_;_;_;Judge, Peking Municipal Court;_;1908-11;Collector, Fungtai Branch Revenue Office;_;1909-11;Junior Treasurer;Bank of China, Peking;1915;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Bien, Zue-Sun;Wuchang, Hupeh;1883;Aurora College;_;Shanghai;_;_;_;Assistant Secretary;Bank of China, Peking;September, 1912;Scholar;_;June, 1912;"Sub-Manager of the Issue Department, 1913- 14; Assistant Inspector";_;1914;Inspector General;Chung Foo Union Bank, Tientsiu;1914-16;Bank of China;Peking;1912-13;studies;Aurora College;1904-5;_;_;_;_;_;_;_;_;_;_;_;_
Fong, Pah-Liang;Kaiping, Kwangtung;1859;Educational Mission School;1873;Wilbraham High School;1873-77;Shanghai;1873;Clerk in Charge;Telegraph Office at Foochow and later at Canton;1882-98;Bureau of Agriculture, Industry and Commerce;Mukden;1908-9;Telegraph Office;Foochow and later at Canton;1882-98;Teacher;Canton;1889-1905;Engineer;_;_;Proctor;Tangshan Railway and Engine- ering College, Tangshan;1905-8;China;_;1881;_;_;_;_;_;_;_;_;_
Wang, Chen-Fuh;Quinshan, Kiangsu;1885;Fn Tan College;_;Shanghai;_;_;_;Professor of Mathematics;Government University, Peking;1914;Vice-President;Chinese Students' Club;1913;Translator;Central Salt Administration, Peking;1913-14;Secretary, Chinese Students' Club;_;1912- 13;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wang, Cheng-Fu;Ningpo, Chekiang;1890;Anglo-Chinese College;_;Peiyang University;_;_;_;Chief Engineer;Iron Division, Penchihu Coal and Iron Co;1916;Treasurer;_;_;Vice-President;_;1913-15;Iron Division;Penchihu Coal and Iron Co;1916;President;_;_;Secretary for Returned Students;Pekiug;1915;Manager;Chinese Students' Monthly;1912-13;Mining;Columbia University;1911-15;President;_;_;_;_;_
Wang, Chengting Thomas;Ningpo, Chekiang;1882;Peiyang University;_;Tientsin;_;_;_;Vice-Minister and Acting Minister of Commerce;Peking;1912;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wang, Chien-Tsu;Amoy, Fukien;1879;Queen's College;1894-95;Hongkong;1894-95;Peiyang University;1896-98;Teacher;_;_;Secretary, Ministry of Finance;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wang, Ching-Chun;Lanchow, Chihli;1882;Peking Methodist University;_;_;_;_;_;Ministry of Communications;Peking;1916-17;Ministry of Foreign Affairs;Provisional Government, Nanking;1916-17;Ministry of Communications;Peking;1916-17;Councillor;Provisional Government, Nanking;1916-17;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
