"","DocId","name_source","Birth_Province_zh","Birth_Province_eng_standard","Birth_location_zh","Birth_Location_eng_standard","work_country","province_py","province_py_std","city_py","work_province","work_city"
"1","imh-11-90","金猷澍","安徽","Anhui","霍邱","Huoqiu","China","Jilin","Jilin","Harbin","吉林","哈爾濱"
"2","imh-11-318","趙國材","江蘇","Jiangsu","上海","Shanghai","China","Hebei","Hebei","Beijing","河北","北京"
"3","imh-11-251","黃啟明","廣東","Guangdong","廣州","Guangzhou","China","Guangdong","Guangdong","Guangzhou","廣東","廣州"
"4","imh-11-326","廖奉獻","廣東","Guangdong","廣州","Guangzhou","China","Guangdong","Guangdong","Guangzhou","廣東","廣州"
"5","imh-11-356","穆湘玥","江蘇","Jiangsu","上海","Shanghai","China","Jiangsu","Jiangsu","Shanghai","江蘇","上海"
"6","imh-11-262","許肇南","四川","Sichuan","綿竹","Mienchu","China","Guizhou","Guizhou","Guiyang","貴州","貴陽"
"7","imh-11-20","王百雷","江蘇","Jiangsu","上海","Shanghai","China","Jiangsu","Jiangsu","Shanghai","江蘇","上海"
"8","imh-11-221","張寳華","浙江","Zhejiang","平湖","Pinghu","China","Jiangsu","Jiangsu","Shanghai","江蘇","上海"
"9","imh-11-15","王弼","廣東","Guangdong","梅縣","Meixian","China","Zhili","Hebei","Nankou","直隸","南口"
"10","imh-11-349","歐陽月","廣東","Guangdong","廣州","Guangzhou","China","Jiangsu","Jiangsu","Shanghai","江蘇","上海"
"11","imh-11-392","譚懷","廣東","Guangdong","香山","Xiangshan","China","Hebei","Hebei","Tianjin","河北","天津"
"12","imh-11-106","卓鏞詩","廣東","Guangdong","香山","Xiangshan","China","Jiangsu","Jiangsu","Shanghai","江蘇","上海"
"13","imh-11-2","卞福孫","江蘇","Jiangsu","揚州","Yangzhou","China","Hebei","Hebei","Beijing","河北","北京"
"14","imh-11-3","卞壽孫","湖北","Hubei","武昌","Wuchang","China","Jiangsu","Jiangsu","Yangzhou","江蘇","揚州"
"15","imh-11-343","劉大鈞","江蘇","Jiangsu","丹徒","Dantu","China","Jiangsu","Jiangsu","Shanghai","江蘇","上海"
"16","imh-11-351","錢方軾","江蘇","Jiangsu","常州","Changzhou","China","Hebei","Hebei","Tianjin","河北","天津"
