"","source","target"
"1","Peking Government University","University of Pennsylvania"
"2","Victoria University","University of Pennsylvania"
"3","Peiyang University","Brown University"
"4","Peiyang University","University of Chicago"
"5","Peiyang University","Yale University"
"6","Nanyang College","Massachusetts Institute of Technology"
"7","Honolulu High School","Cornell University"
"8","Honolulu High School","Stanford University"
"9","St. John's University","Stanford University"
"10","University of Nanking","Stanford University"
"11","St. John's University","Cornell University"
"12","St. John's University","University of Virginia"
"13","William Nast College","Central Wesleyan College"
"14","William Nast College","State University of Iowa"
"15","William Nast College","Syracuse University"
"16","Peiyang University","Columbia University"
"17","Peiyang University","University of California"
"18","Peking College of Finance","Lehigh University"
"19","Peking College of Finance","Union College"
"20","First Min-Li School","Central Wesleyan College"
"21","First Min-Li School","De Pauw University"
"22","First Min-Li School","New York University"
"23","Kiukiang Grammar School","Central Wesleyan College"
"24","Kiukiang Grammar School","De Pauw University"
"25","Kiukiang Grammar School","New York University"
"26","Peking Government University","University of California"
"27","Nanyang College","University of Pennsylvania"
"28","Mukden College of Languages","Cornell University"
"29","Soochow University","Cornell University"
"30","Peiyang University","Cornell University"
"31","Peiyang University","University of California"
"32","Burnett's High School","Barnes University"
"33","Burnett's High School","South Western University"
"34","Burnett's High School","Vanderbilt University"
"35","Tung Wen School","Barnes University"
"36","Tung Wen School","South Western University"
"37","Tung Wen School","Vanderbilt University"
"38","Liangkwang College","Boone School"
"39","Liangkwang College","University of California"
"40","Liangkwang College","University of Iowa"
"41","Liangkwang College","University of Wisconsin"
"42","Peiyang University","Harvard University"
"43","Peiyang University","University of Chicago"
"44","Iolani College","American Medical College"
"45","Iolani College","Barnes University"
"46","Canton Christian College","Columbia University"
"47","Canton Christian College","University of Michigan"
"48","Nanyang College","Cornell University"
"49","Nanyang College","University of Wisconsin"
"50","St. John's University","Cornell University"
"51","St. John's University","Washington High School"
"52","St. John's University","Central High School"
"53","St. John's University","Cornell University"
"54","Shun Cheng School","Central High School"
"55","Shun Cheng School","George Washington University"
"56","Shun Cheng School","George Washington University Hospital"
"57","St. John's University","Central High School"
"58","St. John's University","George Washington University"
"59","St. John's University","George Washington University Hospital"
"60","Anglo-Chinese College (Foochow)","Cornell University"
"61","Shun Cheng School","Cook Academy"
"62","Shun Cheng School","Mercersberg Academy"
"63","Shun Cheng School","University of Pennsylvania"
"64","St. John's University","Cook Academy"
"65","St. John's University","Mercersberg Academy"
"66","St. John's University","University of Pennsylvania"
"67","Peiyang University","University of Pennsylvania"
"68","Nanyang College","University of Pennsylvania"
"69","Peiyang University","University of Wisconsin"
"70","Tangshan Railway and Engineering College","Columbia University"
"71","Tangshan Railway and Engineering College","University of Illinois"
"72","Tangshan Railway and Engineering College","University of Pennsylvania"
"73","Nanyang College","University of California"
"74","Nanyang College","University of Chicago"
"75","Nanyang College","University of Indiana"
"76","Nanyang College","University of Pennsylvania"
"77","St. John's University","Philadelphia Dental College"
"78","St. John's University","Harvard University"
"79","St. John's University","Massachusetts Institute of Technology"
"80","St. John's University","University of Illinois"
"81","Anglo-Chinese College (Shanghai)","Oberlin College"
"82","St. John's University","Harvard University"
"83","St. John's University","University of Chicago"
"84","St. John's University","University of Wisconsin"
"85","St. John's University","Massachusetts Institute of Technology"
"86","St. John's University","Purdue University"
"87","Anglo-Chinese College (Tientsin)","University of Pennsylvania"
"88","Anglo-Chinese College (Tientsin)","Yale University"
"89","Peiyang University","University of Pennsylvania"
"90","Peiyang University","Yale University"
"91","Nanking Christian College","Y.M.C.A. College"
"92","Yu Tsai School","Cornell University"
"93","Yu Tsai School","University of California"
"94","Nanyang College","Massachusetts Institute of Technology"
"95","Nanyang College","Trinity College"
"96","Shanghai Public School","Massachusetts Institute of Technology"
"97","Shanghai Public School","Trinity College"
"98","Peking Government University","Harvard University"
"99","Canton Christian College","Amherst Agricultural College"
"100","Canton Christian College","Syracuse University"
"101","Canton Christian College","Williston Seminary"
"102","Anglo-Chinese College (Tientsin)","Cornell University"
"103","Anglo-Chinese College (Tientsin)","Massachusetts Agricultural College"
"104","Peiyang University","Cornell University"
"105","Peiyang University","Massachusetts Agricultural College"
"106","Li-Shing Scientific College","Colorado School of Mines"
"107","Tangshan Railway and Engineering College","Colorado School of Mines"
"108","Honolulu Public School","Columbia University"
"109","Honolulu Public School","Healdsburg College"
"110","Honolulu Public School","Valparaiso University"
"111","Queen's College","Columbia University"
"112","Queen's College","Healdsburg College"
"113","Queen's College","Valparaiso University"
"114","St. John's University","Massachusetts Agricultural College"
"115","St. John's University","Yale University"
"116","Nanyang Middle School","Columbia University"
"117","Nanyang Middle School","Middlebury College"
"118","Wu-Bun Girls' School","Columbia University"
"119","Wu-Bun Girls' School","Middlebury College"
"120","Sungkiang Middle School","Columbia University"
"121","Sungkiang Middle School","Harvard University"
"122","Boone University","Cook Academy"
"123","Boone University","Syracuse University"
"124","St. John's University","Cook Academy"
"125","St. John's University","Syracuse University"
"126","Shantung Provincial College","Massachusetts Institute of Technology"
"127","Shantung Provincial College","Purdue University"
"128","Tsing Hua College","Massachusetts Institute of Technology"
"129","Tsing Hua College","Purdue University"
"130","Peiyang University","Cornell University"
"131","Peiyang University","University of California"
"132","St. John's University","Cornell University"
"133","St. John's University","University of California"
"134","Chekiang Provincial College","Harvard University"
"135","Chekiang Provincial College","Yale University"
"136","Peking Government University","Harvard University"
"137","Peking Government University","Yale University"
"138","Nanyang Middle School","University of Wisconsin"
"139","Nanyang Polytechnic Institute","University of Wisconsin"
"140","Shantung Provincial College","Colorado School of Mines"
"141","Shantung Provincial College","Purdue University"
"142","Thomas Hanbury School","Massachusetts Institute of Technology"
"143","Thomas Hanbury School","Springfield Technical High School"
"144","Cheng-Chih School","University of Michigan"
"145","St. John's University","University of Michigan"
"146","Nanyang College","Cornell University"
"147","Queen's College","Cornell University"
"148","Queen's College","Cornell University"
"149","St. John's University","Princeton University"
"150","St. John's University","Yale University"
"151","Thomas Hanbury School","Princeton University"
"152","Thomas Hanbury School","Yale University"
"153","Shanghai Educational Mission School","Harvard Medical School"
"154","Boone University","Cornell University"
"155","Boone University","Swarthmore Preparatory School"
"156","St. John's University","Cornell University"
"157","St. John's University","Swarthmore Preparatory School"
"158","Canton Educational Mission School","Iowa State College"
"159","Canton Educational Mission School","Simpson College"
"160","Canton Middle School","Iowa State College"
"161","Canton Middle School","Simpson College"
"162","Tientsin Industrial College","Columbia University"
"163","Tientsin Industrial College","Cushing Academy"
"164","Tientsin Industrial College","University of Wisconsin"
"165","Tientsin Industrial College","Worcester Polytechnic Institute"
"166","Queen's College","University of California"
"167","Queen's College","Yale University"
"168","Nanyang College","Columbia University"
"169","Nanyang College","Massachusetts Institute of Technology"
"170","Nanyang College","University of Illinois"
"171","Yu Tsai School","Columbia University"
"172","Yu Tsai School","Massachusetts Institute of Technology"
"173","Yu Tsai School","University of Illinois"
"174","Nanyang College",NA
"175","Nanyang Middle School",NA
"176","Tangshan Railway and Engineering College","Princeton University"
"177","Tangshan Railway and Engineering College","University of Wisconsin"
"178","Nanyang Middle School","Cornell University"
"179","Nanyang Middle School","Glasgow University"
"180","Peiyang University","Cornell University"
"181","Peiyang University","Glasgow University"
"182","Peking Methodist University","Columbia University"
"183","Peking Methodist University","Boston University"
"184","Peking Methodist University","Ohio Wesleyan University"
"185","Peking Methodist University","University of Michigan"
"186","Min-Li High School","Columbia University"
"187","Min-Li High School","Lehigh University"
"188","Min-Li High School","University of Michigan"
"189","Nanyang High School","Columbia University"
"190","Nanyang High School","Lehigh University"
"191","Nanyang High School","University of Michigan"
"192","St. John's University","Columbia University"
"193","St. John's University","Lehigh University"
"194","St. John's University","University of Michigan"
"195","Billion's Public School","Forest Park University"
"196","Billion's Public School","Wellesley College"
"197","McTyeire School","Forest Park University"
"198","McTyeire School","Wellesley College"
"199","Boone University","Colorado College"
"200","Boone University","Colorado School of Mines"
"201","Boone University","Columbia University"
"202","Nanyang College","University of California"
"203","Nanyang College","University of Illinois"
"204","Nanyang College","University of Wisconsin"
"205","Nanyang College","Columbia University"
"206","Nanyang College","Massachusetts Institute of Technology"
"207","Tsing Hua College","Columbia University"
"208","Tsing Hua College","Massachusetts Institute of Technology"
"209","Fukien Provincial College","University of Chicago"
"210","Fukien Provincial College","University of Pennsylvania"
"211","St. John's University","Yale University"
"212","Anglo-Chinese College (Foochow)","Colorado School of Mines"
"213","Anglo-Chinese College (Foochow)","Lehigh University"
"214","Tsing Hua College","Colorado School of Mines"
"215","Tsing Hua College","Lehigh University"
"216","St. John's University","University of Virginia"
"217","St. John's University","Yale University"
"218","McTyeire School","Randolph Macon Woman's College"
"219","Nanyang Middle School","University of California"
"220","Nanyang Middle School","University of Michigan"
"221","Chihli Provincial College","Clark University"
"222","Chihli Provincial College","Columbia University"
"223","Nankai School","Clark University"
"224","Nankai School","Columbia University"
"225","Aurora College","Yale University"
"226","Nanyang College","Yale University"
"227","Tzu-Kiang Grammar School","Cushing Academy"
"228","Tzu-Kiang Grammar School","Massachusetts Institute of Technology"
"229","Wuchang Pu-tung College","Cushing Academy"
"230","Wuchang Pu-tung College","Massachusetts Institute of Technology"
"231","Nanyang College","University of California"
"232","Nanyang College","Pomona College"
"233","Nanyang College","University of California"
"234","Tsing Hua College","Cornell University"
"235","Nanyang Middle School","University of Illinois"
"236","Tangshan Railway and Engineering College","University of Illinois"
"237","Lowrie Institute","Columbia University"
"238","Lowrie Institute","University of Wooster"
"239","Lowrie Institute","Wooster Academy"
"240","Lowrie Institute","Y.M.C.A. College"
"241","Lowrie Institute","Y.M.C.A. College Literary Society"
"242","Peiyang University","Harvard University"
"243","St. John's University","Cornell University"
"244","St. John's University","University of Pennsylvania"
"245","St. John's University","University of Wisconsin"
"246","Yu Tsai School","Cornell University"
"247","Yu Tsai School","University of Pennsylvania"
"248","Yu Tsai School","University of Wisconsin"
"249","Manila Funo College","Ann Arbor High School"
"250","Manila Funo College","Detroit University"
"251","Manila Funo College","Grand Rapids Central High School"
"252","Manila Funo College","University of Michigan"
"253","Anti-Footbinding School","New York Private School"
"254","Anti-Footbinding School","Northfield Seminary"
"255","Laura Hay Good Memorial School","New York Private School"
"256","Laura Hay Good Memorial School","Northfield Seminary"
"257","Anglo-Chinese College (Tientsin)","Columbia University"
"258","Peiyang University","Columbia University"
"259","Boone University","Lehigh University"
"260","St. John's University","Lehigh University"
"261","University of Nanking","Baker University"
"262","University of Nanking","Columbia University"
"263","Kiukiang Girls' High School","Baker University"
"264","Queen's College","Columbia University"
"265","Queen's College","Michigan Mining College"
"266","McTyeire School","Eliza Yates School"
"267","Shanghai Y.M.C.A. School","Highland Military Academy"
"268","Shanghai Y.M.C.A. School","Morton High School"
"269","Canton Christian College","Columbia University"
"270","Hongkong Technical Institute","Tufts College"
"271","Peiyang Medical College","Tufts College"
"272","St. John's University","University of Virginia"
"273","St. John's University","Phillips Academy"
"274","St. John's University","Purdue University"
"275","Nanking Christian College","University of Michigan"
"276","Shantung Provincial College","University of Illinois"
"277","Shantung Provincial College","University of Illinois"
"278","Shantung Provincial College","University of Pennsylvania"
"279","Shantung Provincial College","University of Vermont"
"280","Shantung University","University of Illinois"
"281","Shantung University","University of Pennsylvania"
"282","Shantung University","University of Vermont"
"283","Hung Wen School","Harvard University"
"284","Hung Wen School","University of Illinois"
"285","Hung Wen School","University of Wisconsin"
"286","Szechuen Provincial College","Harvard University"
"287","Szechuen Provincial College","University of Illinois"
"288","Szechuen Provincial College","University of Wisconsin"
"289","Nanyang College","Cornell University"
"290","Soochow Literary College","Cornell University"
"291","St. John's University","University of Michigan"
"292","Shantung Provincial College","Ohio University"
"293","Shantung Provincial College","University of Wisconsin"
"294","Tsinan Provincial Middle School","Ohio University"
"295","Tsinan Provincial Middle School","University of Wisconsin"
"296","Anglo-Chinese College (Tientsin)","Yale University"
"297","Peking Government University","Yale University"
"298","McKinley High School","Columbia University"
"299","McKinley High School","University of California"
"300","Kwang Ya College","Columbia University"
"301","Kwang Ya College","New York University"
"302","Peking Government University","Columbia University"
"303","Peking Government University","New York University"
"304","Chihli Provincial College","Worcester Polytechnic Institute"
"305","Chihli Provincial College","Worcester Polytechnic Institute Y.M.C.A"
"306","Nankai School","Worcester Polytechnic Institute"
