family_no;family_size;relative_name;Type;DocId;ego_name;occup_cat;occupation1;occupation2;family_position
1;2;伍朝樞;ego;imh-11-46;伍朝樞;;;;
1;2;伍廷芳;relative;;;;;;father
2;2;伍義學;relative;;;Other;Physician;;father
2;2;伍鏡湖;ego;imh-11-47;伍鏡湖;;;;
3;2;何蓬洲;relative;;;Official;Official;Commodity;father
3;2;何杰;ego;imh-11-49;何杰;;;;
4;2;何炳松;ego;imh-11-52;何炳松;;;;
4;2;何壽銓;relative;;;;;;father
5;3;余文卿;relative;;;Other;Community leader;Association;father
5;3;余日章;ego;imh-11-87;余日章;;;;
5;3;余日宣;relative;;;;;;
6;2;傅衛卿;relative;;;Business;Merchant;Book;father
6;2;傅驌;ego;imh-11-288;傅驌;;;;
7;2;全耀東;relative;;;Intellectual;Education;Instructor;father
7;2;全紹淸;ego;imh-11-43;全紹淸;;;;
8;3;兪慶恩;ego;imh-11-133;兪慶恩;;;;
8;3;兪慶堯;relative;;;;;;
8;3;兪隷雲;relative;;;;;;father
9;2;凌道揚;ego;imh-11-163;凌道揚;;;;
9;2;凌善元;relative;;;;;;father
10;2;劉大鈞;ego;imh-11-343;劉大鈞;;;;
10;2;劉大猷;relative;;;;;;
11;2;劉寰偉;ego;imh-11-341;劉寰偉;;;;
11;2;劉琳;relative;;;;;;
12;2;劉景山;ego;imh-11-344;劉景山;;;;
12;2;劉景春;relative;;;;;;
13;2;劉瑞恒;ego;imh-11-345;劉瑞恒;;;;
13;2;劉桐軒;relative;;;;;;father
14;2;卓冀堂;relative;;;Business;Merchant;;father
14;2;卓鏞詩;ego;imh-11-106;卓鏞詩;;;;
15;3;卞壽孫;ego;imh-11-3;卞壽孫;;;;
15;3;卞福孫;ego;imh-11-2;卞福孫;;;;
15;3;卞綍昌;relative;;;;;;uncle
16;2;王培蓀;relative;;;Intellectual;Education;Dean;uncle
16;2;王百雷;ego;;;;;;
17;4;歐陽庚;relative;;;Official;Official;Official;uncle
17;4;歐陽祺;ego;imh-11-347;歐陽祺;;;;
17;4;歐陽月;ego;;;;;;
17;4;歐陽祺(夫人);ego;imh-11-348;歐陽祺;;;;
18;2;吳家高;ego;imh-11-85;吳家高;;;;
18;2;吳家煦;relative;;;;;;
19;2;吳紀舜;ego;imh-11-84;吳紀舜;;;;
19;2;吳業醫;relative;;;;;;father
20;2;吳致覺;ego;imh-11-86;吳致覺;;;;
20;2;吳藻章;relative;;;;;;father
21;2;周倫元;ego;imh-11-100;周倫元;;;;
21;2;周慶禮;relative;;;;;;father
22;2;周連錫;ego;imh-11-99;周連錫;;;;
22;2;周連中;relative;;;;;;
23;2;周逵;ego;imh-11-97;周逵;;;;
23;2;周馥;relative;;;;;;father
24;2;周開基;ego;imh-11-96;周開基;;;;
24;2;周業商;relative;;;;;;father
25;2;唐寳桐;ego;imh-11-178;唐寳桐;;;;
25;2;唐仲良;relative;;;;;;father
26;2;唐悅良;ego;imh-11-182;唐悅良;;;;
26;2;唐瑞祺;relative;;;;;;uncle
27;3;唐榮禧;ego;imh-11-184;唐榮禧;;;;
27;3;唐紹儀;relative;imh-11-179;唐紹儀;;;;uncle
27;3;唐紹和;relative;;;;;;uncle
28;2;嚴端巖;relative;;;Official;Engineer;Navy;father
28;2;嚴家騶;ego;imh-11-393;嚴家騶;;;;
29;2;姚觀順;ego;imh-11-131;姚觀順;;;;
29;2;姚啟瑞;relative;;;;;;father
30;2;婁裕燾;ego;imh-11-267;婁裕燾;;;;
30;2;婁裕;relative;;;;;;
31;3;孫多鈺;ego;imh-11-174;孫多鈺;;;;
31;3;孫元方;ego;imh-11-175;孫元方;;;;
31;3;孫多森;relative;;;;;;uncle
32;2;孫冠臣;relative;;;Business;Merchant;;father
32;2;孫嘉祿;ego;imh-11-172;孫嘉祿;;;;
33;2;孫逢辰;relative;;;Business;Merchant;;father
33;2;孫恒;ego;imh-11-171;孫恒;;;;
34;2;孫啟濓;ego;imh-11-168;孫啟濓;;;;
34;2;孫啟忠;relative;;;;;;
35;2;尤先甲;relative;;;Official;Scholar-official;Road;father
35;2;尤志邁;ego;imh-11-22;尤志邁;;;;
36;2;席德柄;ego;imh-11-151;席德柄;;;;
36;2;席裕光;relative;;;;;;father
37;2;張承良;relative;;;Other;Renteer;;uncle
37;2;張凖;ego;imh-11-226;張凖;;;;
38;2;張銘勳;relative;;;Official;Official;Land;father
38;2;張善揚;ego;imh-11-223;張善揚;;;;
