"","from","to","Relationship","occup_cat","occupation1","occupation2"
"1","伍朝樞","伍廷芳","Father","Unknown",NA,NA
"2","伍鏡湖","伍義學","Father","Other","Physician",NA
"3","何杰","何蓬洲","Father","Official","Official","Commodity"
"4","何炳松","何壽銓","Father","Unknown",NA,NA
"5","余日章","余文卿","Father","Other","Community leader","Association"
"6","傅驌","傅衛卿","Father","Business","Merchant","Book"
"7","全紹淸","全耀東","Father","Intellectual","Education","Instructor"
"8","兪慶恩","兪隷雲","Father","Unknown",NA,NA
"9","凌道揚","凌善元","Father","Unknown",NA,NA
"10","劉瑞恒","劉桐軒","Father","Unknown",NA,NA
"11","卓鏞詩","卓冀堂","Father","Business","Merchant",NA
"12","卞壽孫","卞綍昌","Uncle","Unknown",NA,NA
"13","卞福孫","卞綍昌","Uncle","Unknown",NA,NA
"14","吳紀舜","吳業醫","Father","Unknown",NA,NA
"15","吳致覺","吳藻章","Father","Unknown",NA,NA
"16","周倫元","周慶禮","Father","Unknown",NA,NA
"17","周逵","周馥","Father","Unknown",NA,NA
"18","周開基","周業商","Father","Unknown",NA,NA
"19","唐寳桐","唐仲良","Father","Unknown",NA,NA
"20","唐悅良","唐瑞祺","Uncle","Unknown",NA,NA
"21","唐榮禧","唐紹儀","Uncle","Unknown",NA,NA
"22","唐榮禧","唐紹和","Uncle","Unknown",NA,NA
"23","嚴家騶","嚴端巖","Father","Official","Engineer","Navy"
"24","姚觀順","姚啟瑞","Father","Unknown",NA,NA
"25","孫元方","孫多森","Uncle","Unknown",NA,NA
"26","孫嘉祿","孫冠臣","Father","Business","Merchant",NA
"27","孫多鈺","孫多森","Brother","Unknown",NA,NA
"28","孫恒","孫逢辰","Father","Business","Merchant",NA
"29","尤志邁","尤先甲","Father","Official","Scholar-official","Road"
"30","席德柄","席裕光","Father","Unknown",NA,NA
"31","張凖","張承良","Uncle","Other","Renteer",NA
"32","張善揚","張銘勳","Father","Official","Official","Land"
"33","張寳華","張立齋","Father","Business","Merchant",NA
"34","張煜全","張錦","Father","Official","Official","Revenue"
"35","徐志薌","徐景甫","Father","Other","Community leader","Association"
"36","徐志誠","徐景甫","Father","Other","Community leader","Association"
"37","徐書","徐巽祥","Father","Official","Engineer","Telegraph"
"38","徐良","徐勤","Father","Unknown",NA,NA
"39","施厚元","施肇曾","Father","Official","Official","Railway"
"40","施振元","施子英","Father","Official","Official","Investment"
"41","施聯元","施肇英","Father","Business","Entrepreneur","Cotton"
"42","施肇基","施肇曾","Brother","Official","Official","Railway"
"43","施肇祥","施肇曾","Brother","Official","Official","Railway"
"44","施調元","施肇曾","Uncle","Official","Official","Railway"
"45","施贊元","施肇曾","Father","Official","Official","Railway"
"46","朱兆莘","朱珩","Father","Unknown",NA,NA
"47","朱彭壽","朱虞珍","Father","Unknown",NA,NA
"48","朱成章","朱銘敬","Father","Official","Official","Shipping"
"49","朱斯莆","朱丙君","Father","Business","Entrepreneur","Shipping"
"50","李奉藻","李恩富","Uncle","Intellectual","Scholar","Yale graduate"
"51","李奉藻","李贊辰","Father","Intellectual","Scholar",NA
"52","李植楡","李厚貴","Father","Official","Official","Postal service"
"53","李植藩","李厚貴","Father","Official","Official","Postal service"
"54","李燦基","李福疇","Uncle","Unknown",NA,NA
"55","李瑞霖","李中和","Father","Official","Official","Mining"
"56","李謙若","李振鵬","Uncle","Unknown",NA,NA
"57","林鑑誠","林雨亭","Father","Business","Entrepreneur","Insurance"
"58","梅華銓","梅炳垣","Father","Business","Merchant",NA
"59","梅貽琦","梅伯忱","Father","Unknown",NA,NA
"60","楊奎侯","楊信之","Father","Business","Merchant","Silk"
"61","楊豹靈","李伯蓮","Father","Unknown",NA,NA
"62","歐陽祺","歐陽庚","Brother","Official","Official","Official"
"63","殷源之","殷孟喬","Father","Intellectual","Education","Instructor"
"64","沈溯明","沈廷琛","Father","Unknown",NA,NA
"65","沈燕謀","沈鹿岑","Father","Unknown",NA,NA
"66","沈祖偉","沈瑞麟","Uncle","Unknown",NA,NA
"67","熊崇志","熊淸華","Father","Unknown",NA,NA
"68","王仁輔","王海濤","Father","Unknown",NA,NA
"69","王建祖","王鑑明","Father","Unknown",NA,NA
"70","王紹瀛","王遜卿","Father","Business","Merchant",NA
"71","王觀英","王尊莊","Father","Unknown",NA,NA
"72","王鑑和","王鍾斌","Father","Business","Merchant",NA
"73","祝毓瑛","祝芾","Father","Official","Official","Road"
"74","程其達","程靜山","Father","Unknown",NA,NA
"75","程子輝","程建瑞","Father","Business","Merchant",NA
"76","程萬里","程立賢","Father","Unknown",NA,NA
"77","符宗朝","符慰祖","Father","Unknown",NA,NA
"78","羅惠僑","羅松林","Father","Intellectual","Education","Headmaster"
"79","胡憲生","胡雨人","Father","Unknown",NA,NA
"80","胡昌鶴","胡鼎梅","Father","Unknown",NA,NA
"81","胡章","胡永烜","Father","Business","Merchant",NA
"82","蔡彬懿","蔡宗謨","Uncle","Other","Physician","Military surgeon"
"83","蔡翔","蔡中藩","Father","Unknown",NA,NA
"84","薩福均","薩鎭冰","Father","Unknown",NA,NA
"85","裘昌運","裘葆良","Father","Unknown",NA,NA
"86","許宗漢","許斌","Father","Intellectual","Education","Lecturer"
"87","許翥世","許竹林","Father","Unknown",NA,NA
"88","謝作楷","謝卓堂","Father","Business","Merchant",NA
"89","謝恩隆","謝紹庭","Father","Unknown",NA,NA
"90","譚懷","譚堃","Father","Business","Merchant",NA
"91","譚翊","譚選書","Father","Unknown",NA,NA
"92","譚錫鴻","譚安讓","Father","Business","Merchant",NA
"93","費興仁","費起鶴","Uncle","Unknown",NA,NA
"94","費興仁","費起鳳","Father","Unknown",NA,NA
"95","費起鶴","費起鳳","Brother","Unknown",NA,NA
"96","趙國材","趙和君","Uncle","Unknown",NA,NA
"97","趙學","趙耀誠","Father","Business","Merchant",NA
"98","辛耀庠","辛仲卿","Father","Unknown",NA,NA
"99","郭健霄","郭曜東","Father","Business","Merchant","Sugar"
"100","郭守純","郭詠歸","Father","Business","Merchant",NA
"101","鄒應藼","鄒嘉來","Father","Unknown",NA,NA
"102","鄭之蕃","鄭慈穀","Father","Other","Community leader","National Assembly"
"103","鄭豪","鄭育堂","Father","Intellectual","Scholar",NA
"104","金泰","金其昌","Father","Intellectual","Education","Headmaster"
"105","錢崇澍","錢光鍔","Father","Unknown",NA,NA
"106","錢方軾","錢鑅","Father","Business","Entrepreneur","Wood"
"107","關菁麟","關壽平","Father","Unknown",NA,NA
"108","陳廷均","陳紀雲","Father","Unknown",NA,NA
"109","陳道原","陳蔭昌","Father","Business","Merchant",NA
"110","陶德琨","陶際唐","Father","Unknown",NA,NA
"111","陸元昌","陸稼軒","Uncle","Unknown",NA,NA
"112","陸鴻棠","陸梅亭","Father","Unknown",NA,NA
"113","顧光賓","顧鳴歧","Father","Official","Official","Commodity"
"114","顧維鈞","顧溶","Father","Unknown",NA,NA
"115","馬名海","馬鶴嶺","Father","Unknown",NA,NA
"116","馬國驥","馬伯畬","Father","Business","Merchant",NA
"117","黃寶楠","黃世英","Father","Unknown",NA,NA
"118","黃憲昭","黃紹經","Father","Business","Merchant",NA
"119","黃榮輝","黃昂傑","Father","Business","Merchant",NA
"120","黃添福","黃文蘭","Father","Business","Merchant",NA
"121","王百雷","王培蓀","Uncle","Intellectual","Education","Dean"
"122","吳淸度","吳鍾綬","Father","Unknown",NA,NA
"123","歐陽月","歐陽庚","Uncle","Official","Official","Official"
