DocId;name_source;FullName_zh;FullName_py;FullName_wg;gender;birth_year;Birth_Province_zh;Birth_Province_eng_standard;Birth_location_zh;Birth_Location_eng_standard;ancestry_province;ancestry_locality;married;married_year;sons;daugthers;total_children;FundingMain;Funding;FundingZh;Number_visit;estimated_arrived_year;arrived_month;estimated_returned_year;returned_month;duration;field_of_study;field_group;source_page;source_name;
imh-11-90;金猷澍;金猷澍;Jin Youshu;Chin Yushu;Male;1882;安徽;Anhui;霍邱;Huoqiu;NA;NA;已婚;1904;1;3;4;Partial support;Government support;自費遊美;NA;1906;June;1911;August;5;Electrical Engineering;Engineering Sciences;209;Who's Who of American Returned Students; 遊美同學錄 (1917)
imh-11-318;趙國材;趙國材;Diao Guocai;Chao Guok-Tsai;Male;1879;江蘇;Jiangsu;上海;Shanghai;NA;NA;已婚;1912;0;1;1;Partial support;Government support;自費遊美;NA;1907;August;1911;April;4;Political Science;Social Sciences;132;Who's Who of American Returned Students; 遊美同學錄 (1917)
imh-11-251;黃啟明;黃啟明;Huang Qiming;Wong Kai-Ming;Male;1887;廣東;Guangdong;廣州;Guangzhou;NA;NA;未婚;NA;0;0;0;Partial support;Partial support;官費遊美;NA;1911;September;1914;June;3;Education;Social Sciences;93;Who's Who of American Returned Students; 遊美同學錄 (1917)
imh-11-326;廖奉獻;廖奉獻;Liao Fengxian;Liu Fung Hin;Female;1890;廣東;Guangdong;廣州;Guangzhou;NA;NA;NA;NA;0;0;0;Partial support;Partial support;自費遊美;NA;1909;September;1916;March;7;Education-Liberal Arts;Humanities-Social Sciences;136;Who's Who of American Returned Students; 遊美同學錄 (1917)
imh-11-356;穆湘玥;穆湘玥;Mu Xiangyue;Moh H. Y;Male;1876;江蘇;Jiangsu;上海;Shanghai;NA;NA;已婚;NA;2;1;3;Partial support;Partial support;自費遊美;NA;1909;July;1914;NA;5;Agriculture;Biological Sciences;153;Who's Who of American Returned Students; 遊美同學錄 (1917)
imh-11-262;許肇南;許肇南;Hu Zhaonan;Shu Sawland J;Male;1886;四川;Sichuan;綿竹;Mienchu;NA;NA;已婚;1906;0;1;1;Partial support;Partial support;自費遊美;NA;1908;May;1914;September;6;Business-Electrical-Mechanical;Engineering-Social Sciences;99;Who's Who of American Returned Students; 遊美同學錄 (1917)
imh-11-20;王百雷;王百雷;Wang Bailei;Wong Perry;Male;1884;江蘇;Jiangsu;上海;Shanghai;NA;NA;已婚;1914;1;0;1;Partial support;Partial support;自費遊美;NA;1908;August;1914;September;6;Chemical Engineering;Engineering Sciences;64;Who's Who of American Returned Students; 遊美同學錄 (1917)
imh-11-221;張寳華;張寳華;Zhang Baohua;Chang Paul Hua;Male;1885;浙江;Zhejiang;平湖;Pinghu;NA;NA;已婚;1914;0;1;1;Partial support;Partial support;自費遊美;NA;1909;September;1913;November;4;Chemical-Mechanical;Engineering Sciences;76;Who's Who of American Returned Students; 遊美同學錄 (1917)
imh-11-15;王弼;王弼;Wang Bi;Wang Pih;Male;1883;廣東;Guangdong;梅縣;Meixian;NA;NA;已婚;1912;1;0;1;Partial support;Partial support;自費遊美;NA;1903;October;1911;August;8;Civil-Mechanical;Engineering Sciences;33;Who's Who of American Returned Students; 遊美同學錄 (1917)
imh-11-349;歐陽月;歐陽月;Ouyang Geng;Owyang Yet C.;Male;1885;廣東;Guangdong;廣州;Guangzhou;NA;NA;已婚;1915;0;1;1;Partial support;Partial support;自費遊美;NA;1903;NA;1912;December;9;Commerce;Social Sciences;150;Who's Who of American Returned Students; 遊美同學錄 (1917)
