DocId;name;position;Institution;Location;Province
imh-11-100;周倫元;Teacher;Ningbo Middle School;Ningbo;Zhejiang
imh-11-108;林彪;Teacher;St. John's University;Shanghai;Jiangsu
imh-11-109;林立;Teacher;William Nast College;Jiujiang;Jiangxi
imh-11-110;易鼎新;Teacher;Li Kiang School;Pingxiang;Jiangxi
imh-11-117;胡克;Teacher;Anglo-Chinese College (Shanghai);Shanghai;Jiangsu
imh-11-122;計大雄;Teacher;Lu Kia Hui Middle School;Shanghai;Jiangsu
imh-11-13;王鑑和;Teacher;Anglo-Chinese College (Foochow);Fuzhou;Fujian
imh-11-146;徐善祥;Teacher;Nanyang High School;Shanghai;Jiangsu
imh-11-153;高崙瑾;Teacher;Nanking Military Academy;Nanjing;Jiangsu
imh-11-154;桂鑄西;Teacher;Banking College;Beijing;Hebei
imh-11-164;倪錫純;Teacher;Nanking Industrial College;Nanjing;Jiangsu
imh-11-19;王健;Teacher;Tientsin Industrial College;Tianjin;Hebei
imh-11-193;陳錦濤;Teacher;Peiyang University;Tianjin;Hebei
imh-11-193;陳錦濤;Teacher;Queen's College;Hongkong;Hongkong
imh-11-20;叔培蓀;Teacher;Chengtu High School;Chengdu;Sichuan
imh-11-200;陳世第;Teacher;Chekiang Provincial College;Hangzhou;Zhejiang
imh-11-203;陳在新;Teacher;Peking Methodist University;Beijing;Hebei
imh-11-210;陳茂康;Teacher;Kwang-Yee Middle School;Chongqing;Sichuan
imh-11-213;陳辛恒;Teacher;International Institute;Shanghai;Jiangsu
imh-11-221;張寳華;Teacher;Hsuchow Middle School;Xuzhou;Sichuan
imh-11-226;張凖;Teacher;Tzu-Kiang Grammar School;Zhijiang;Hubei
imh-11-228;章祖純;Teacher;Huchow Middle School;Huzhou;Zhejiang
imh-11-245;黃榮良;Teacher;University of Nanking;Nanjing;Jiangsu
imh-11-25;史鳳珠;Teacher;McTyeire School;Shanghai;Jiangsu
imh-11-265;陸鴻棠;Teacher;Ye-Chih School;Shanghai;Jiangsu
imh-11-28;朱復;Teacher;Teh-Shan School;Changde;Hunan
imh-11-28;朱復;Teacher;Yuan Chow Middle School;Yuanzhou;Hunan
imh-11-286;費興仁;Teacher;Tientsin Y.M.C.A. School;Tianjin;Hebei
imh-11-308;楊恩湛;Teacher;Ad Astra School;Wuchang;Hubei
imh-11-309;楊豹靈;Teacher;Cheng-Chih School;Zhenjiang;Jiangsu
imh-11-315;楊廷珖;Teacher;St. Elizabeth's Mission School;Honolulu;Hawaii
imh-11-354;盧景泰;Teacher;Canton Christian College;Guangzhou;Guangdong
imh-11-357;諶湛溪;Teacher;Government Teachers' College (Kweiyang);Guiyang;Guiyang
imh-11-358;鍾振東;Teacher;Hongkong Baptist School;Hongkong;Hongkong
imh-11-370;謝學瀛;Teacher;Zungchow High School;Shanghai;Jiangsu
imh-11-371;謝作楷;Teacher;Sacred Heart College;Guangzhou;Guangdong
imh-11-374;韓安;Teacher;University of Nanking;Nanjing;Jiangsu
imh-11-378;魏文彬;Teacher;Peking Methodist University;Beijing;Hebei
imh-11-383;關恩佐;Teacher;Canton Christian College;Guangzhou;Guangdong
imh-11-384;羅泮忱;Teacher;Chihli Provincial College;Baoding;Zhili
imh-11-384;羅泮忱;Teacher;Kwang Ping Middle School;Guangping;Zhili
imh-11-385;羅泮輝;Teacher;Peiyang University;Tianjin;Hebei
imh-11-387;羅惠僑;Teacher;Ningpo High School;Ningbo;Zhejiang
imh-11-390;譚福;Teacher;Kiukiang Government Middle School;Jiujiang;Jiangxi
imh-11-399;顧宗林;Teacher;Tientsin Polytechnic Institute;Tianjin;Hebei
imh-11-42;朱友漁;Teacher;St. John's University;Shanghai;Jiangsu
imh-11-44;汝人鶴;Teacher;Yichow Middle School;Yizhou;Zhili
imh-11-52;何炳松;Teacher;Kinhua High School;Jinhua;Zhejiang
imh-11-55;辛耀庠;Teacher;St. John's University;Shanghai;Jiangsu
imh-11-62;李松濤;Teacher;St. John's University;Shanghai;Jiangsu
imh-11-70;李鳴龢;Teacher;Huchow Public School;Huzhou;Zhejiang
imh-11-8;王建祖;Teacher;Nanyang College;Shanghai;Jiangsu
imh-11-85;吳家高;Teacher;Chungying Middle School;Nanjing;Jiangsu
imh-11-96;周開基;Teacher;Changsha Private School;Changsha;Hubei
