DocId;name;Grantor;Grantor_level2;nature;Start_year;End_year
imh-11-67;Lee, Z. V.;University of Chicago;School of Education;Scholarship;1913;1914
imh-11-81;Woo, Koksan;University of Wisconsin;Department of Chemistry;Scholarship;1913;1914
imh-11-238;Quo, Tai-Chi;University of Pennsylvania;Department of Sociology;Scholarship;1911;1912
imh-11-325;Young, Samue;University of California;;Scholarship;1903;
imh-11-325;Young, Samue;Columbia University;;Scholarship;1904;
imh-11-363;Fong, F. Sec;Columbia University;Teachers' College;Scholarship;1905;1906
imh-11-46;Wu, Chao-Chu;Inns of Court;;Studentship;1911;
imh-11-46;Wu, Chao-Chu;University of London;;Scholarship;1911;
imh-11-112;Hu, Chang-Ho;De Pauw University;Department of Chemistry;Scholarship;1914;1915
imh-11-165;Nyi, Zau-Tsu;President Butler's;;Scholarship;1914;1916
imh-11-28;Chu, Chimin;Wilbur Prize;;Scholarship;1911;
imh-11-9;Wang, Ching-;Wu Ting-Fang's Prize;;Scholarship;1909;
